@relation Combined_train

@attribute var_x numeric
@attribute 'delta var_x' numeric
@attribute mean_x numeric
@attribute var_y numeric
@attribute 'delta var_y' numeric
@attribute mean_y numeric
@attribute var_z numeric
@attribute 'delta var_z' numeric
@attribute mean_z numeric
@attribute class {none,motion,tap}

@data
1.44694,-0.064175,1.652957,1.110106,0.006548,4.868849,1.327097,-0.016435,8.688079,motion
1.442567,-0.004373,1.649126,1.107168,-0.002939,4.874595,1.323117,-0.00398,8.674672,motion
1.531131,0.088564,1.723825,1.102032,-0.005136,4.893748,1.327783,0.004666,8.663179,motion
1.56096,0.029829,1.813847,1.005331,-0.096701,4.976109,1.415536,0.087753,8.575073,motion
1.502409,-0.058551,1.959415,0.914936,-0.090395,5.060385,1.428909,0.013372,8.557835,motion
1.32341,-0.178999,2.104982,0.767605,-0.147331,5.136999,1.089647,-0.339262,8.410352,motion
0.891248,-0.432162,2.296518,0.325989,-0.441616,4.997178,1.063603,-0.026043,8.350975,motion
0.831145,-0.060103,2.378879,0.328983,0.002994,5.00867,0.913029,-0.150574,8.232223,motion
0.822132,-0.009014,2.453578,0.328983,0,5.00867,0.829527,-0.083501,8.283938,motion
0.762425,-0.059707,2.59723,0.326492,-0.002491,5.022078,0.809189,-0.020339,8.306922,motion
0.703269,-0.059156,2.679591,0.216195,-0.110297,5.089115,0.705019,-0.10417,8.220731,motion
0.681246,-0.022023,2.735136,0.179391,-0.036803,5.131253,0.552973,-0.152046,8.13454,motion
0.605922,-0.075324,2.846227,0.146638,-0.032753,5.16573,0.551359,-0.001614,8.126878,motion
0.432074,-0.173848,2.972641,0.094665,-0.051973,5.106353,0.546017,-0.005341,8.130709,motion
0.359509,-0.072565,3.060747,0.067664,-0.027001,5.068046,0.569144,0.023127,8.100063,motion
0.357803,-0.001706,3.058832,0.055998,-0.011666,5.048893,0.339343,-0.229802,7.988972,motion
0.303097,-0.054706,3.120124,0.058621,0.002623,5.073792,0.339787,0.000444,7.987057,motion
0.29208,-0.011017,3.12587,0.070158,0.011538,5.106353,0.285634,-0.054152,7.931511,motion
0.273719,-0.018361,3.020525,0.070624,0.000466,5.108269,0.273454,-0.01218,7.950665,motion
0.254381,-0.019337,3.007117,0.058243,-0.012382,5.091031,0.188772,-0.084682,8.029195,motion
0.209621,-0.044761,3.04734,0.039984,-0.018259,5.131253,0.145629,-0.043143,7.914273,motion
0.174024,-0.035597,3.106716,0.033898,-0.006086,5.171476,0.119813,-0.025816,7.854897,motion
0.174024,0,3.106716,0.03162,-0.002278,5.188714,0.106991,-0.012822,7.826166,motion
0.186934,0.01291,3.150769,0.036671,0.005052,5.205952,0.089162,-0.017829,7.860643,motion
0.187139,0.000205,3.1546,0.038663,0.001992,5.211698,0.095017,0.005855,7.833828,motion
0.185701,-0.001438,3.181415,0.035087,-0.003577,5.236598,0.08973,-0.005286,7.812759,motion
0.184234,-0.001467,3.196738,0.035453,0.000367,5.240429,0.087959,-0.001772,7.799351,motion
0.179215,-0.005019,3.2044,0.035552,0.000099,5.242344,0.088707,0.000748,7.795521,motion
0.178676,-0.000539,3.210146,0.03432,-0.001233,5.257667,0.087148,-0.001559,7.785944,motion
0.165568,-0.013108,3.192907,0.032618,-0.001702,5.27299,0.083538,-0.00361,7.762959,motion
0.166008,0.00044,3.2044,0.025662,-0.006956,5.295974,0.080797,-0.00274,7.745721,motion
0.166184,0.000176,3.219722,0.023685,-0.001977,5.309382,0.070184,-0.010613,7.724652,motion
0.160406,-0.005778,3.206315,0.019293,-0.004391,5.322789,0.060297,-0.009887,7.703583,motion
0.159405,-0.001002,3.2044,0.01313,-0.006163,5.341943,0.058786,-0.001511,7.707414,motion
0.158396,-0.001009,3.202484,0.008893,-0.004237,5.35535,0.054794,-0.003991,7.722737,motion
0.155765,-0.00263,3.196738,0.007113,-0.001779,5.364927,0.051636,-0.003159,7.709329,motion
0.15964,0.003874,3.20823,0.007407,0.000293,5.361097,0.05055,-0.001086,7.701668,motion
0.109013,-0.050627,3.265691,0.004766,-0.002641,5.345774,0.04866,-0.001889,7.692091,motion
0.039034,-0.069979,3.332729,0.004296,-0.00047,5.349604,0.047879,-0.000781,7.686345,motion
0.035641,-0.003393,3.323152,0.004296,0,5.349604,0.032284,-0.015595,7.661446,motion
0.025163,-0.010478,3.349967,0.004608,0.000312,5.347689,0.010048,-0.022235,7.697837,motion
0.025163,0,3.349967,0.004124,-0.000484,5.336197,0.008159,-0.001889,7.707414,motion
0.019649,-0.005514,3.367205,0.004384,0.00026,5.334281,0.007965,-0.000194,7.705499,motion
0.014146,-0.005503,3.355713,0.00292,-0.001464,5.320874,0.005415,-0.00255,7.695922,motion
0.013148,-0.000998,3.363375,0.002388,-0.000532,5.311297,0.00277,-0.002645,7.70933,motion
0.013394,0.000246,3.36529,0.002124,-0.000264,5.303636,0.002729,-0.00004,7.707414,motion
0.013207,-0.000187,3.371036,0.002113,-0.000011,5.30172,0.002729,0,7.707414,motion
0.004002,-0.009205,3.395936,0.002242,0.000128,5.299805,0.002828,0.000099,7.71316,motion
0.002418,-0.001585,3.407428,0.002388,0.000147,5.292144,0.002623,-0.000205,7.70933,motion
0.002418,0,3.407428,0.002201,-0.000187,5.286398,0.00226,-0.000363,7.715076,motion
0.002186,-0.000231,3.413174,0.001948,-0.000253,5.280651,0.002124,-0.000136,7.716991,motion
0.002142,-0.000044,3.417005,0.001801,-0.000147,5.27299,0.002124,0,7.716991,motion
0.001379,-0.000763,3.424666,0.00182,0.000018,5.271075,0.002124,0,7.716991,motion
0.001361,-0.000018,3.422751,0.00139,-0.000429,5.265329,0.000627,-0.001497,7.724653,motion
0.001361,0,3.422751,0.001335,-0.000055,5.259582,0.000646,0.000018,7.722737,motion
0.001244,-0.000117,3.426581,0.000866,-0.00047,5.251921,0.000627,-0.000018,7.724653,motion
0.001068,-0.000176,3.422751,0.00088,0.000015,5.24809,0.000715,0.000088,7.728483,motion
0.001101,0.000033,3.428497,0.000866,-0.000015,5.24426,0.001013,0.000297,7.734229,motion
0.001101,0,3.428497,0.000569,-0.000297,5.238513,0.00095,-0.000062,7.736145,motion
0.001233,0.000132,3.432328,0.000481,-0.000088,5.234683,0.001027,0.000077,7.73806,motion
0.001233,0,3.432328,0.000657,0.000176,5.230852,0.001097,0.00007,7.739975,motion
0.001068,-0.000165,3.434243,0.000803,0.000147,5.227021,0.001013,-0.000084,7.741891,motion
0.000862,-0.000205,3.438074,0.000921,0.000117,5.223191,0.001068,0.000055,7.743806,motion
0.000774,-0.000088,3.434243,0.001009,0.000088,5.21936,0.001068,0,7.743806,motion
0.000569,-0.000205,3.438074,0.001068,0.000059,5.215529,0.001068,0,7.743806,motion
0.000602,0.000033,3.436158,0.001097,0.000029,5.211698,0.000969,-0.000099,7.745721,motion
0.000569,-0.000033,3.438074,0.000803,-0.000293,5.207868,0.000969,0,7.745721,motion
0.000569,0,3.438074,0.000774,-0.000029,5.204037,0.000921,-0.000048,7.743806,motion
0.000569,0,3.438074,0.000822,0.000048,5.202122,0.000862,-0.000059,7.747637,motion
0.000569,0,3.438074,0.000748,-0.000073,5.198291,0.000895,0.000033,7.749552,motion
