eventIndex,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,tapType
117,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,notap
118,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.844957,notap
119,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.844957,9.883265,notap
120,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,notap
121,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,9.883265,notap
122,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,notap
123,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,9.883265,notap
124,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,notap
125,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,9.883265,notap
126,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,9.883265,9.844957,notap
